旅客记录号,乘客数,到达航班,到达日期,出发航班,出发日期
T0065,2,NV309,2018/1/19,NV675,2018/1/19
T0066,2,NV309,2018/1/19,NV3615,2018/1/19
T0067,1,NV309,2018/1/19,NV6164,2018/1/19
T0068,1,NV309,2018/1/19,NV6548,2018/1/19
T0069,2,NV309,2018/1/19,NV612,2018/1/19
T0070,2,NV309,2018/1/19,NV612,2018/1/19
T0071,1,NV309,2018/1/19,NV6230,2018/1/19
T0072,1,NV309,2018/1/19,NV6532,2018/1/19
T0073,2,NV309,2018/1/19,NV6616,2018/1/19
T0074,2,NV309,2018/1/19,NV6616,2018/1/19
T0075,2,NV309,2018/1/19,NV6616,2018/1/19
T0076,1,NV309,2018/1/19,NV6616,2018/1/19
T0077,2,NV309,2018/1/19,NV634,2018/1/19
T0078,2,NV309,2018/1/19,NV634,2018/1/19
T0079,2,NV309,2018/1/19,NV634,2018/1/19
T0080,2,NV309,2018/1/19,NV634,2018/1/19
T0081,2,NV309,2018/1/19,NV634,2018/1/19
T0082,2,NV309,2018/1/19,NV634,2018/1/19
T0083,2,NV309,2018/1/19,NV634,2018/1/19
T0084,1,NV309,2018/1/19,NV634,2018/1/19
T0085,2,NV309,2018/1/19,NV6152,2018/1/19
T0086,2,NV309,2018/1/19,NV6152,2018/1/19
T0087,2,NV309,2018/1/19,NV6152,2018/1/19
T0088,2,NV309,2018/1/19,NV6152,2018/1/19
T0089,1,NV309,2018/1/19,NV6152,2018/1/19
T0090,2,NV309,2018/1/19,NV678,2018/1/19
T0091,2,NV309,2018/1/19,NV678,2018/1/19
T0092,2,NV309,2018/1/19,NV678,2018/1/19
T0093,2,NV309,2018/1/19,NV678,2018/1/19
T0094,2,NV309,2018/1/19,NV678,2018/1/19
T0095,1,NV309,2018/1/19,NV678,2018/1/19
T0096,2,NV309,2018/1/19,NV316,2018/1/19
T0097,2,NV309,2018/1/19,NV316,2018/1/19
T0098,2,NV309,2018/1/19,NV316,2018/1/19
T0099,2,NV871,2018/1/19,NV655,2018/1/19
T0100,1,NV871,2018/1/19,NV655,2018/1/19
T0101,2,NV871,2018/1/19,NV380,2018/1/19
T0102,1,NV871,2018/1/19,NV3263,2018/1/19
T0103,1,NV871,2018/1/19,NV6616,2018/1/19
T0104,2,NV871,2018/1/19,NV336,2018/1/19
T0105,2,NV871,2018/1/19,NV634,2018/1/19
T0106,2,NV871,2018/1/19,NV6152,2018/1/19
T0107,2,NV871,2018/1/19,NV6152,2018/1/19
T0108,2,NV871,2018/1/19,NV6152,2018/1/19
T0109,2,NV871,2018/1/19,NV6152,2018/1/19
T0110,2,NV871,2018/1/19,NV6152,2018/1/19
T0111,2,NV871,2018/1/19,NV6152,2018/1/19
T0112,2,NV871,2018/1/19,NV6152,2018/1/19
T0113,2,NV871,2018/1/19,NV6152,2018/1/19
T0114,2,NV655,2018/1/19,NV6778,2018/1/19
T0115,2,NV655,2018/1/19,NV6778,2018/1/19
T0116,2,NV655,2018/1/19,NV6778,2018/1/19
T0117,2,NV655,2018/1/19,NV6154,2018/1/19
T0118,2,NV655,2018/1/19,NV6154,2018/1/19
T0119,2,NV655,2018/1/19,NV6154,2018/1/19
T0120,2,NV655,2018/1/19,NV6154,2018/1/19
T0121,2,NV655,2018/1/19,NV6154,2018/1/19
T0122,2,NV655,2018/1/19,NV6164,2018/1/19
T0123,2,NV655,2018/1/19,NV6164,2018/1/19
T0124,2,NV655,2018/1/19,NV6636,2018/1/19
T0125,1,NV655,2018/1/19,NV6734,2018/1/19
T0126,2,NV655,2018/1/19,NV634,2018/1/19
T0127,2,NV655,2018/1/19,NV6152,2018/1/19
T0128,2,NV655,2018/1/19,NV6152,2018/1/19
T0129,1,NV891,2018/1/19,NV3615,2018/1/19
T0130,2,NV891,2018/1/19,NV655,2018/1/19
T0131,1,NV891,2018/1/19,NV6164,2018/1/19
T0132,2,NV891,2018/1/19,NV6724,2018/1/19
T0133,1,NV891,2018/1/19,NV6724,2018/1/19
T0134,1,NV891,2018/1/19,NV6636,2018/1/19
T0135,2,NV891,2018/1/19,GN0414,2018/1/19
T0136,2,NV891,2018/1/19,NV6230,2018/1/19
T0137,2,NV891,2018/1/19,NV6616,2018/1/19
T0138,1,NV891,2018/1/19,NV6616,2018/1/19
T0139,2,NV891,2018/1/19,NV634,2018/1/19
T0140,2,NV891,2018/1/19,NV6152,2018/1/19
T0141,2,NV891,2018/1/19,NV6152,2018/1/19
T0142,2,NV891,2018/1/19,NV6152,2018/1/19
T0143,2,NV891,2018/1/19,NV6152,2018/1/19
T0144,2,NV891,2018/1/19,NV6576,2018/1/19
T0145,2,NV891,2018/1/19,NV6576,2018/1/19
T0146,1,NV891,2018/1/19,NV6576,2018/1/19
T0147,1,NV891,2018/1/19,NV6579,2018/1/19
T0148,2,NV851,2018/1/19,NV6778,2018/1/19
T0149,2,NV851,2018/1/19,NV6154,2018/1/19
T0150,2,NV851,2018/1/19,NV6164,2018/1/19
T0151,2,NV851,2018/1/19,NV6616,2018/1/19
T0152,2,NV851,2018/1/19,NV6152,2018/1/19
T0153,2,NV851,2018/1/19,NV6152,2018/1/19
T0154,2,NV851,2018/1/19,NV6152,2018/1/19
T0155,2,NV851,2018/1/19,NV6152,2018/1/19
T0156,2,NV851,2018/1/19,NV630,2018/1/19
T0157,2,NV851,2018/1/19,NV630,2018/1/19
T0158,2,NV851,2018/1/19,NV668,2018/1/19
T0159,2,NV851,2018/1/19,NV620,2018/1/19
T0160,2,NV689,2018/1/19,NV3263,2018/1/19
T0161,2,NV689,2018/1/19,NV3263,2018/1/19
T0162,1,NV689,2018/1/19,NV3263,2018/1/19
T0163,2,NV689,2018/1/19,NV6164,2018/1/19
T0164,2,NV689,2018/1/19,NV6548,2018/1/19
T0165,1,NV689,2018/1/19,NV6636,2018/1/19
T0166,2,NV689,2018/1/19,NV6734,2018/1/19
T0167,2,NV689,2018/1/19,NV612,2018/1/19
T0168,2,NV689,2018/1/19,NV612,2018/1/19
T0169,2,NV689,2018/1/19,NV6230,2018/1/19
T0170,2,NV689,2018/1/19,NV6230,2018/1/19
T0171,2,NV689,2018/1/19,NV6230,2018/1/19
T0172,1,NV689,2018/1/19,NV6230,2018/1/19
T0173,2,NV689,2018/1/19,NV6532,2018/1/19
T0174,2,NV689,2018/1/19,NV6616,2018/1/19
T0175,2,NV689,2018/1/19,NV336,2018/1/19
T0176,2,NV689,2018/1/19,NV6446,2018/1/19
T0177,2,NV689,2018/1/19,NV6446,2018/1/19
T0178,1,NV689,2018/1/19,NV6446,2018/1/19
T0179,2,NV689,2018/1/19,NV634,2018/1/19
T0180,1,NV689,2018/1/19,NV634,2018/1/19
T0181,2,NV689,2018/1/19,NV6152,2018/1/19
T0182,2,NV689,2018/1/19,NV6152,2018/1/19
T0183,2,NV689,2018/1/19,NV6152,2018/1/19
T0184,1,NV689,2018/1/19,NV6152,2018/1/19
T0185,2,NV689,2018/1/19,NV678,2018/1/19
T0186,2,NV689,2018/1/19,NV678,2018/1/19
T0187,2,NV689,2018/1/19,NV678,2018/1/19
T0188,1,NV689,2018/1/19,GN0630,2018/1/19
T0189,2,NV689,2018/1/19,NV630,2018/1/19
T0190,1,NV689,2018/1/19,NV630,2018/1/19
T0191,2,NV689,2018/1/19,NV6576,2018/1/19
T0192,2,NV689,2018/1/19,NV6576,2018/1/19
T0193,2,NV689,2018/1/19,NV6612,2018/1/19
T0194,1,NV689,2018/1/19,NV6577,2018/1/19
T0195,2,NV689,2018/1/19,NV316,2018/1/19
T0196,2,NV689,2018/1/19,NV316,2018/1/19
T0197,2,NV689,2018/1/19,NV3196,2018/1/19
T0198,1,NV689,2018/1/19,NV3552,2018/1/19
T0199,2,NV689,2018/1/19,NV6172,2018/1/19
T0200,2,NV689,2018/1/19,NV6172,2018/1/19
T0201,1,NV689,2018/1/19,NV6172,2018/1/19
T0202,2,NV6157,2018/1/19,NV634,2018/1/19
T0203,2,NV6157,2018/1/19,NV698,2018/1/19
T0204,2,NV6157,2018/1/19,NV698,2018/1/19
T0205,2,NV6157,2018/1/19,NV828,2018/1/19
T0206,2,NV6157,2018/1/19,NV828,2018/1/19
T0207,2,NV6157,2018/1/19,NV828,2018/1/19
T0208,2,NV6157,2018/1/19,NV828,2018/1/19
T0209,2,NV6157,2018/1/19,NV828,2018/1/19
T0210,2,NV6157,2018/1/19,NV828,2018/1/19
T0211,2,NV6157,2018/1/19,NV828,2018/1/19
T0212,2,NV6157,2018/1/19,NV828,2018/1/19
T0213,2,NV6157,2018/1/19,NV828,2018/1/19
T0214,2,NV6157,2018/1/19,NV828,2018/1/19
T0215,1,NV6157,2018/1/19,NV828,2018/1/19
T0216,2,NV665,2018/1/19,NV6532,2018/1/19
T0217,2,NV665,2018/1/19,NV336,2018/1/19
T0218,1,NV665,2018/1/19,NV336,2018/1/19
T0219,2,NV665,2018/1/19,NV6152,2018/1/19
T0220,1,NV665,2018/1/19,NV812,2018/1/19
T0221,2,NV665,2018/1/19,NV6612,2018/1/19
T0222,2,NV665,2018/1/19,NV6612,2018/1/19
T0223,2,NV665,2018/1/19,NV6612,2018/1/19
T0224,2,NV665,2018/1/19,NV6612,2018/1/19
T0225,2,NV665,2018/1/19,NV6612,2018/1/19
T0226,2,NV665,2018/1/19,NV6612,2018/1/19
T0227,2,NV665,2018/1/19,NV6612,2018/1/19
T0228,2,NV665,2018/1/19,NV6612,2018/1/19
T0229,2,NV665,2018/1/19,NV6612,2018/1/19
T0230,2,NV665,2018/1/19,NV6612,2018/1/19
T0231,2,NV665,2018/1/19,NV6577,2018/1/19
T0232,2,NV665,2018/1/19,NV3552,2018/1/19
T0233,2,NV665,2018/1/19,NV3552,2018/1/19
T0234,2,NV665,2018/1/19,GN0628,2018/1/19
T0235,2,NV665,2018/1/19,GN0628,2018/1/19
T0236,2,NV665,2018/1/19,GN0628,2018/1/19
T0237,2,NV665,2018/1/19,GN0628,2018/1/19
T0238,1,NV665,2018/1/19,GN0628,2018/1/19
T0239,1,NV665,2018/1/19,NV632,2018/1/19
T0240,1,NV393,2018/1/19,NV6152,2018/1/19
T0241,2,NV393,2018/1/19,NV668,2018/1/19
T0242,2,NV393,2018/1/19,NV668,2018/1/19
T0243,1,NV393,2018/1/19,NV668,2018/1/19
T0244,2,NV393,2018/1/19,NV6612,2018/1/19
T0245,2,NV393,2018/1/19,NV6160,2018/1/19
T0246,2,NV393,2018/1/19,NV6160,2018/1/19
T0247,1,NV393,2018/1/19,NV6172,2018/1/19
T0248,2,NV393,2018/1/19,NV828,2018/1/19
T0249,2,NV393,2018/1/19,NV828,2018/1/19
T0250,2,NV393,2018/1/19,NV828,2018/1/19
T0251,2,NV393,2018/1/19,NV318,2018/1/19
T0252,2,NV393,2018/1/19,NV318,2018/1/19
T0253,2,NV393,2018/1/19,NV318,2018/1/19
T0254,1,NV393,2018/1/19,NV318,2018/1/19
T0255,1,NV659,2018/1/19,NV6230,2018/1/19
T0256,1,NV659,2018/1/19,NV336,2018/1/19
T0257,2,NV659,2018/1/19,NV6152,2018/1/19
T0258,1,NV659,2018/1/19,NV6152,2018/1/19
T0259,1,NV659,2018/1/19,NV630,2018/1/19
T0260,1,NV659,2018/1/19,NV668,2018/1/19
T0261,2,NV659,2018/1/19,NV6577,2018/1/19
T0262,2,NV659,2018/1/19,NV6577,2018/1/19
T0263,2,NV659,2018/1/19,NV6577,2018/1/19
T0264,2,NV659,2018/1/19,NV6577,2018/1/19
T0265,2,NV659,2018/1/19,NV6577,2018/1/19
T0266,2,NV659,2018/1/19,NV6577,2018/1/19
T0267,2,NV659,2018/1/19,NV6577,2018/1/19
T0268,2,NV659,2018/1/19,NV6160,2018/1/19
T0269,2,NV659,2018/1/19,NV6160,2018/1/19
T0270,2,NV659,2018/1/19,NV6160,2018/1/19
T0271,2,NV659,2018/1/19,NV6160,2018/1/19
T0272,2,NV659,2018/1/19,NV6160,2018/1/19
T0273,2,NV659,2018/1/19,NV6160,2018/1/19
T0274,2,NV659,2018/1/19,NV6160,2018/1/19
T0275,2,NV659,2018/1/19,NV6160,2018/1/19
T0276,2,NV659,2018/1/19,NV6160,2018/1/19
T0277,2,NV659,2018/1/19,NV6160,2018/1/19
T0278,2,NV659,2018/1/19,NV6172,2018/1/19
T0279,2,NV659,2018/1/19,NV6172,2018/1/19
T0280,2,NV659,2018/1/19,NV6172,2018/1/19
T0281,2,NV659,2018/1/19,NV6172,2018/1/19
T0282,1,NV659,2018/1/19,NV6172,2018/1/19
T0283,2,NV659,2018/1/19,NV628,2018/1/19
T0284,2,NV659,2018/1/19,NV6656,2018/1/19
T0285,2,NV659,2018/1/19,NV602,2018/1/19
T0286,2,NV659,2018/1/19,NV602,2018/1/19
T0287,2,NV659,2018/1/19,NV602,2018/1/19
T0288,2,NV659,2018/1/19,NV698,2018/1/19
T0289,2,NV659,2018/1/19,NV698,2018/1/19
T0290,2,NV659,2018/1/19,NV698,2018/1/19
T0291,2,NV659,2018/1/19,NV698,2018/1/19
T0292,2,NV659,2018/1/19,NV698,2018/1/19
T0293,1,NV659,2018/1/19,NV698,2018/1/19
T0294,2,NV659,2018/1/19,NV828,2018/1/19
T0295,2,NV659,2018/1/19,NV828,2018/1/19
T0296,2,NV659,2018/1/19,NV828,2018/1/19
T0297,2,NV659,2018/1/19,NV828,2018/1/19
T0298,2,NV659,2018/1/19,NV828,2018/1/19
T0299,2,NV659,2018/1/19,NV828,2018/1/19
T0300,2,NV659,2018/1/19,NV828,2018/1/19
T0301,2,NV659,2018/1/19,NV828,2018/1/19
T0302,2,NV659,2018/1/19,NV828,2018/1/19
T0303,2,NV659,2018/1/19,NV828,2018/1/19
T0304,2,NV659,2018/1/19,NV828,2018/1/19
T0305,2,NV659,2018/1/19,NV828,2018/1/19
T0306,2,NV659,2018/1/19,NV828,2018/1/19
T0307,2,NV659,2018/1/19,NV828,2018/1/19
T0308,2,NV659,2018/1/19,NV828,2018/1/19
T0309,1,NV659,2018/1/19,NV828,2018/1/19
T0310,2,NV659,2018/1/19,NV318,2018/1/19
T0311,2,NV659,2018/1/19,NV318,2018/1/19
T0312,2,NV659,2018/1/19,NV318,2018/1/19
T0313,2,NV659,2018/1/19,NV318,2018/1/19
T0314,2,NV659,2018/1/19,NV318,2018/1/19
T0315,2,NV659,2018/1/19,NV318,2018/1/19
T0316,2,NV659,2018/1/19,NV318,2018/1/19
T0317,2,NV659,2018/1/19,NV318,2018/1/19
T0318,2,NV659,2018/1/19,NV318,2018/1/19
T0319,2,NV331,2018/1/19,NV6576,2018/1/19
T0320,2,NV331,2018/1/19,NV6577,2018/1/19
T0321,2,NV331,2018/1/19,NV6577,2018/1/19
T0322,2,NV331,2018/1/19,NV6577,2018/1/19
T0323,2,NV331,2018/1/19,NV6577,2018/1/19
T0324,2,NV331,2018/1/19,NV6577,2018/1/19
T0325,2,NV331,2018/1/19,NV6577,2018/1/19
T0326,1,NV331,2018/1/19,NV6577,2018/1/19
T0327,1,NV331,2018/1/19,NV6160,2018/1/19
T0328,2,NV331,2018/1/19,NV3552,2018/1/19
T0329,1,NV331,2018/1/19,NV6172,2018/1/19
T0330,1,NV331,2018/1/19,NV6536,2018/1/19
T0331,2,NV331,2018/1/19,NV6622,2018/1/19
T0332,1,NV6700,2018/1/19,NV3280,2018/1/19
T0333,1,NV6700,2018/1/19,NV626,2018/1/19
T0334,2,NV6700,2018/1/19,NV6172,2018/1/19
T0335,2,NV6700,2018/1/19,NV6172,2018/1/19
T0336,1,NV6700,2018/1/19,NV6172,2018/1/19
T0337,2,NV6700,2018/1/19,NV628,2018/1/19
T0338,1,NV6700,2018/1/19,NV628,2018/1/19
T0339,2,NV6700,2018/1/19,NV820,2018/1/19
T0340,1,NV6700,2018/1/19,NV662,2018/1/19
T0341,2,NV3992,2018/1/19,NV628,2018/1/19
T0342,1,NV3992,2018/1/19,NV628,2018/1/19
T0343,2,NV3992,2018/1/19,NV698,2018/1/19
T0344,1,NV3992,2018/1/19,NV698,2018/1/19
T0345,1,NV3992,2018/1/19,NV820,2018/1/19
T0346,2,NV3992,2018/1/19,NV828,2018/1/19
T0347,2,NV3992,2018/1/19,NV828,2018/1/19
T0348,2,NV3992,2018/1/19,NV318,2018/1/19
T0349,2,NV3992,2018/1/19,NV318,2018/1/19
T0350,2,NV3992,2018/1/19,NV318,2018/1/19
T0351,2,NV3992,2018/1/19,NV318,2018/1/19
T0352,1,NV3992,2018/1/19,NV318,2018/1/19
T0353,2,NV3992,2018/1/19,NV346,2018/1/19
T0354,1,NV3992,2018/1/19,NV346,2018/1/19
T0355,1,NV3992,2018/1/19,NV6144,2018/1/19
T0356,2,NV6135,2018/1/19,NV602,2018/1/19
T0357,2,NV6135,2018/1/19,NV828,2018/1/19
T0358,1,NV6135,2018/1/19,NV828,2018/1/19
T0359,2,NV6135,2018/1/19,NV318,2018/1/19
T0360,2,NV6135,2018/1/19,NV670,2018/1/19
T0361,1,NV6135,2018/1/19,NV662,2018/1/19
T0362,2,NV6135,2018/1/19,NV694,2018/1/19
T0363,2,NV6135,2018/1/19,NV694,2018/1/19
T0364,2,NV6135,2018/1/19,NV694,2018/1/19
T0365,2,NV6135,2018/1/19,NV694,2018/1/19
T0366,2,NV6135,2018/1/19,NV694,2018/1/19
T0367,2,NV6135,2018/1/19,NV694,2018/1/19
T0368,2,NV6135,2018/1/19,NV694,2018/1/19
T0369,2,NV6135,2018/1/19,NV694,2018/1/19
T0370,2,NV6135,2018/1/19,NV694,2018/1/19
T0371,2,NV6135,2018/1/19,NV694,2018/1/19
T0372,2,NV6135,2018/1/19,NV694,2018/1/19
T0373,2,NV6135,2018/1/19,NV694,2018/1/19
T0374,1,NV6135,2018/1/19,NV692,2018/1/19
T0375,1,NV6577,2018/1/19,NV6656,2018/1/19
T0376,1,NV6577,2018/1/19,NV820,2018/1/19
T0377,1,NV6577,2018/1/19,NV828,2018/1/19
T0378,1,NV6577,2018/1/19,NV632,2018/1/19
T0379,2,NV6577,2018/1/19,NV318,2018/1/19
T0380,2,NV6577,2018/1/19,NV858,2018/1/19
T0381,2,NV6697,2018/1/19,NV6172,2018/1/19
T0382,1,NV6697,2018/1/19,NV628,2018/1/19
T0383,1,NV6697,2018/1/19,NV6752,2018/1/19
T0384,2,NV6697,2018/1/19,NV602,2018/1/19
T0385,2,NV6697,2018/1/19,NV602,2018/1/19
T0386,2,NV6697,2018/1/19,NV602,2018/1/19
T0387,2,NV6697,2018/1/19,NV602,2018/1/19
T0388,2,NV6697,2018/1/19,NV602,2018/1/19
T0389,2,NV6697,2018/1/19,NV698,2018/1/19
T0390,1,NV6697,2018/1/19,NV820,2018/1/19
T0391,2,NV6697,2018/1/19,NV6144,2018/1/19
T0392,2,NV6697,2018/1/19,NV670,2018/1/19
T0393,2,NV6697,2018/1/19,NV670,2018/1/19
T0394,2,NV6697,2018/1/19,NV898,2018/1/19
T0395,2,NV6697,2018/1/19,NV898,2018/1/19
T0396,2,NV6697,2018/1/19,NV898,2018/1/19
T0397,2,NV6697,2018/1/19,NV898,2018/1/19
T0398,2,NV6697,2018/1/19,NV898,2018/1/19
T0399,2,NV6697,2018/1/19,NV898,2018/1/19
T0400,2,NV6697,2018/1/19,NV898,2018/1/19
T0401,2,NV6697,2018/1/19,NV898,2018/1/19
T0402,1,NV6697,2018/1/19,NV898,2018/1/19
T0403,2,NV6697,2018/1/19,NV640,2018/1/19
T0404,1,NV6579,2018/1/19,NV6160,2018/1/19
T0405,2,NV6579,2018/1/19,NV6172,2018/1/19
T0406,1,NV6579,2018/1/19,NV6172,2018/1/19
T0407,2,NV6579,2018/1/19,NV628,2018/1/19
T0408,2,NV6579,2018/1/19,NV628,2018/1/19
T0409,1,NV6579,2018/1/19,NV628,2018/1/19
T0410,2,NV6579,2018/1/19,NV820,2018/1/19
T0411,1,NV6579,2018/1/19,NV820,2018/1/19
T0412,2,NV6579,2018/1/19,NV632,2018/1/19
T0413,2,NV6579,2018/1/19,NV632,2018/1/19
T0414,1,NV6579,2018/1/19,NV632,2018/1/19
T0415,1,NV6579,2018/1/19,NV318,2018/1/19
T0416,2,NV6579,2018/1/19,NV858,2018/1/19
T0417,1,NV6579,2018/1/19,NV670,2018/1/19
T0418,1,NV6579,2018/1/19,NV898,2018/1/19
T0419,2,NV6579,2018/1/19,NV640,2018/1/19
T0420,1,NV6579,2018/1/19,NV640,2018/1/19
T0421,2,NV6645,2018/1/19,NV602,2018/1/19
T0422,1,NV6645,2018/1/19,NV602,2018/1/19
T0423,2,NV6645,2018/1/19,NV618,2018/1/19
T0424,1,NV6645,2018/1/19,NV618,2018/1/19
T0425,2,NV6645,2018/1/19,NV698,2018/1/19
T0426,1,NV6645,2018/1/19,NV698,2018/1/19
T0427,2,NV6645,2018/1/19,NV828,2018/1/19
T0428,1,NV6645,2018/1/19,NV828,2018/1/19
T0429,1,NV6645,2018/1/19,NV318,2018/1/19
T0430,2,NV6645,2018/1/19,NV614,2018/1/19
T0431,1,NV6645,2018/1/19,NV614,2018/1/19
T0432,1,NV6645,2018/1/19,NV670,2018/1/19
T0433,1,NV6645,2018/1/19,NV662,2018/1/19
T0434,1,NV3620,2018/1/19,NV698,2018/1/19
T0435,1,NV3620,2018/1/19,NV828,2018/1/19
T0436,2,NV3620,2018/1/19,NV318,2018/1/19
T0437,1,NV3620,2018/1/19,NV670,2018/1/19
T0438,1,NV3620,2018/1/19,NV640,2018/1/19
T0439,2,NV6623,2018/1/19,NV618,2018/1/19
T0440,2,NV6623,2018/1/19,NV618,2018/1/19
T0441,2,NV6623,2018/1/19,NV618,2018/1/19
T0442,2,NV6623,2018/1/19,NV618,2018/1/19
T0443,2,NV6623,2018/1/19,NV698,2018/1/19
T0444,1,NV6623,2018/1/19,NV828,2018/1/19
T0445,2,NV6623,2018/1/19,NV318,2018/1/19
T0446,2,NV6623,2018/1/19,NV318,2018/1/19
T0447,2,NV6623,2018/1/19,NV346,2018/1/19
T0448,2,NV6623,2018/1/19,NV346,2018/1/19
T0449,2,NV6623,2018/1/19,NV614,2018/1/19
T0450,2,NV6623,2018/1/19,NV6148,2018/1/19
T0451,2,NV6623,2018/1/19,NV6148,2018/1/19
T0452,2,NV6623,2018/1/19,NV670,2018/1/19
T0453,1,NV628,2018/1/19,NV3120,2018/1/19
T0454,1,NV628,2018/1/19,NV602,2018/1/19
T0455,2,NV628,2018/1/19,NV828,2018/1/19
T0456,1,NV628,2018/1/19,NV828,2018/1/19
T0457,2,NV628,2018/1/19,NV632,2018/1/19
T0458,1,NV628,2018/1/19,NV318,2018/1/19
T0459,2,NV628,2018/1/19,NV346,2018/1/19
T0460,2,NV628,2018/1/19,NV6148,2018/1/19
T0461,2,NV628,2018/1/19,NV6148,2018/1/19
T0462,1,NV628,2018/1/19,NV6148,2018/1/19
T0463,2,NV628,2018/1/19,NV670,2018/1/19
T0464,2,NV628,2018/1/19,NV670,2018/1/19
T0465,2,NV628,2018/1/19,NV670,2018/1/19
T0466,1,NV628,2018/1/19,NV670,2018/1/19
T0467,1,NV628,2018/1/19,NV3194,2018/1/19
T0468,1,NV628,2018/1/19,NV662,2018/1/19
T0469,2,NV6313,2018/1/19,NV6656,2018/1/19
T0470,2,NV6313,2018/1/19,NV6656,2018/1/19
T0471,1,NV6313,2018/1/19,NV6656,2018/1/19
T0472,2,NV6313,2018/1/19,NV6622,2018/1/19
T0473,2,NV6313,2018/1/19,NV6770,2018/1/19
T0474,1,NV6313,2018/1/19,NV6770,2018/1/19
T0475,1,NV6313,2018/1/19,NV6144,2018/1/19
T0476,2,NV6313,2018/1/19,NV640,2018/1/19
T0477,2,NV698,2018/1/19,NV602,2018/1/19
T0478,2,NV698,2018/1/19,NV602,2018/1/19
T0479,1,NV698,2018/1/19,NV602,2018/1/19
T0480,2,NV698,2018/1/19,NV828,2018/1/19
T0481,2,NV698,2018/1/19,NV828,2018/1/19
T0482,2,NV698,2018/1/19,NV828,2018/1/19
T0483,2,NV698,2018/1/19,NV6144,2018/1/19
T0484,2,NV698,2018/1/19,NV6144,2018/1/19
